company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
CORE GYM OSWESTRY LIMITED,16198844,Active,Private limited company,,,2025-01-21,,,93130,Enterprise House Unit Mo12 Maesbury Road Oswestry SY10 8GA United Kingdom
ALPHA BOXING GYM LIMITED,16217615,Active,Private limited company,,,2025-01-29,,,85510,Old Co-Op Buildings West Parade Leadgate Consett DH8 7PJ England
THE PINK GYM LTD,16226805,Active,Private limited company,,,2025-02-03,,,93130,107 Clayhill Booker Marlow SL7 3FL United Kingdom
MAGNETIC GYM BAG LTD,16241811,Active,Private limited company,,,2025-02-10,,,13960 13990 14110 18129,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
GYM KRAFT LIMITED,NI726348,Active,Private limited company,,,2025-02-13,,,93130,7 Oakdale Banbridge BT32 4RW United Kingdom
ELEVATE GYM PRESTON LTD,16256467,Active,Private limited company,,,2025-02-17,,,93130,3-4 Dollywaggon Way Bamber Bridge Preston PR5 6EW England
LOCK'IN GYM LTD,16278619,Active,Private limited company,,,2025-02-26,,,93130,116 Podsmead Rd Gloucester GL2 5AD United Kingdom
GAINZ GYM EQUIPMENT LIMITED,16291921,Active,Private limited company,,,2025-03-04,,,47910,111 Essex Street Walsall WS2 7AR England
PUMP MUSCLE GYM LIMITED,16298534,Active,Private limited company,,,2025-03-06,,,93130,Suite 3 157 Station Road East Oxted RH8 0QE United Kingdom
SLIM GYM LIMITED,16303647,Active,Private limited company,,,2025-03-10,,,93130,27 Southport Road Chorley PR7 1LF England
CHAMPS GYM LTD,16291972,Active,Private limited company,,,2025-03-04,,,93130,Ivy-Dean White Street Kibworth Beauchamp Leicester LE8 0JG England
TOTAL GYM STORE LTD,16163297,Active,Private limited company,,,2025-01-04,,,46690,9 Cornmoor Crescent East Huntspill Highbridge TA9 3NY England
IRONBUILT GYM LTD,16161090,Active,Private limited company,,,2025-01-03,,,96040,Unit 7a Radford Crescent Billericay CM12 0DU United Kingdom
NORTH LONDON GYM GROUP LTD,16159520,Active,Private limited company,,,2025-01-02,,,93130,124 City  Road London EC1V 2NX United Kingdom
VAULT GYM KENT LIMITED,16310123,Active,Private limited company,,,2025-03-12,,,96040,424 Margate Road Westwood Ramsgate CT12 6SJ England
INVICTUS SPORTS GYM LTD,16311255,Active,Private limited company,,,2025-03-12,,,93199,13 Church Street Ampthill Bedford MK45 2PL England
MIAH BROS MMA GYM LTD,16329526,Active,Private limited company,,,2025-03-20,,,93130,113 Hangleton Way Hove BN3 8AF England
GABY'S GARAGE GYM LTD,16383361,Active,Private limited company,,,2025-04-11,,,86900,4 Hever Grove Huddersfield HD5 9TJ England
NOT ANOTHER FUNCTIONAL FITNESS GYM LTD,16342445,Active,Private limited company,,,2025-03-25,,,93130,26 Windmill Way Kirton Lindsey Gainsborough DN21 4FE England
GYM PIG LTD,16372055,Active,Private limited company,,,2025-04-08,,,47290,26 Nixonville Merthyr Vale Merthyr Tydfil CF48 4RF Wales
SCRAPYARD BOXING GYM LTD,SC854735,Active,Private limited company,,,2025-07-07,,,93130,26 Gordon Drive East Kilbride Glasgow G74 3AG Scotland
RETRO GYM SOLUTIONS LTD,16168516,Active,Private limited company,,,2025-01-07,,,47990,Unit 2 Timber Yard Industrial Estate East Moors Road Cardiff CF24 5EE Wales
FOUNDRY GYM CHELTENHAM LIMITED,16574070,Active,Private limited company,,,2025-07-10,,,93130,Beech Tree House 16 The Strand Bromsgrove B61 8AB England
FOUNDRY GYM GLOUCESTER LIMITED,16572381,Active,Private limited company,,,2025-07-09,,,93130,Beech Tree House 16 The Strand Bromsgrove B61 8AB England
VITUS GYM WEAR LTD,16261725,Dissolved,Private limited company,,2025-07-22,2025-02-19,,,46420,128 City Road London EC1V 2NX United Kingdom
BIG BAD GYM LTD,16580151,Active,Private limited company,,,2025-07-14,,,96040,Office 13479 182-184 High Street North East Ham London E6 2JA United Kingdom
THE PILATES GYM 2025 LTD,16575937,Active,Private limited company,,,2025-07-11,,,85510,The Pilates Gym Heath Farm Alcester Road Wythall B47 6AJ United Kingdom
EMMAS GYM CREW LTD,16578958,Active,Private limited company,,,2025-07-14,,,99999,"Dept 2, 43 Owston Road Carcroft Doncaster DN6 8DA England"
GYM TOURS AI LTD,16593438,Active,Private limited company,,,2025-07-19,,,62012,10-12 Mulberry Green Harlow CM17 0ET England
