company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
FLEX GYM SOLUTIONS LTD,16338758,Active,Private limited company,,,2025-03-24,,,93130,C/O Atr Accountancy & Bookkeeping Ltd Imperial House 79-81 Hornby Street Bury BL9 5BN England
FRONTLINE GYM LTD,16338575,Active,Private limited company,,,2025-03-24,,,47710 47910 93130,2 Baggholme Road Lincoln LN2 5BQ England
BASE GYM LIMITED,16347288,Active,Private limited company,,,2025-03-27,,,93130,34 High Street Yatton Bristol BS49 4JA England
PHOENIX GYM LTD,16359925,Active,Private limited company,,,2025-04-02,,,93130,4 Summerlands Park Drive Ilminster TA19 9BN England
GYM-TAN LTD,16364711,Active,Private limited company,,,2025-04-04,,,77390,Ivydale High Street Coalport Telford TF8 7HZ England
FULHAM BOXING GYM LTD,16365004,Active,Private limited company,,,2025-04-04,,,93130,28 Longcroft Easbury Court Watford WD19 4JX United Kingdom
THE TEMPLE GYM LTD,16378885,Active,Private limited company,,,2025-04-10,,,93130,45 Medway Road Gillingham ME7 1NL England
DENTDALE COMMUNITY GYM C.I.C.,16377215,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-04-09,,,93110,Gillside Dent Sedbergh LA10 5TE England
THE PADEL GYM LTD.,SC846082,Active,Private limited company,,,2025-04-23,,,93110,3/1 Bellevue Place Edinburgh EH7 4BS Scotland
GYM LEASE HIRE SOLUTIONS LTD,16409416,Active,Private limited company,,,2025-04-25,,,77210,2 Cilgant Y Meillion Rhoose Barry CF62 3LH Wales
GYM SUPPS UK LTD,16380515,Active,Private limited company,,,2025-04-10,,,46460 47910,213 Wood End Road Birmingham B24 8BL England
GYM GROUP STAFFORD LIMITED,16383516,Active,Private limited company,,,2025-04-12,,,93130,The Good Shed Newport Road Stafford ST16 2EX England
YOUR MENTAL GYM GUIDE LIMITED,16395208,Active,Private limited company,,,2025-04-17,,,96090,82a James Carter Road Mildenhall Suffolk IP28 7DE United Kingdom
CTFITNESS T/A THE HUB GYM LTD,16397800,Active,Private limited company,,,2025-04-22,,,86900,7 Roderick Close Abertawe SA1 6AJ United Kingdom
GYM BOSS LTD,16415667,Active,Private limited company,,,2025-04-29,,,47190 47710,38 Booker Avenue Milton Keynes MK13 8AR United Kingdom
GYM SWEETS LIMITED,16182675,Active,Private limited company,,,2025-01-14,,,47290,"Klaco House Third Floor, 28 St. John's Square London EC1M 4DN England"
FORGE GYM SURREY LTD,16188827,Active,Private limited by guarantee without share capital,,,2025-01-16,,,93130,Unit 3 13-19 Lower Road Sutton SM1 4QJ England
MASDA GYM LIVERPOOL LIMITED,16198274,Active,Private limited company,,,2025-01-21,,,93130,64 St. Anne Street Liverpool L3 3DY England
RICHMOND MY GYM LTD,16298591,Active,Private limited company,,,2025-03-06,,,93130,Unit 2 Dairy Court Orchard Road Richmond TW9 4FG United Kingdom
TOUGH LOVE GYM LTD,16299945,Active,Private limited company,,,2025-03-07,,,93130,15 Riverside Studios Amethyst Road Newcastle Business Park Newcastle Upon Tyne NE4 7YL United Kingdom
MBF GYM CLUB LIMITED,16423247,Active,Private limited company,,,2025-05-01,,,93130,The Horsefold 1 Well Bank Well Bedale DL8 2QF England
GYM AMC LTD,16384145,Active,Private limited company,,,2025-04-13,,,93130,Suite 10-12 Mezzanine Floor Royal Liver Building Pier Head Liverpool L3 1HU United Kingdom
VIVA GYM LTD,16427221,Active,Private limited company,,,2025-05-02,,,93130,2 New College Radclive Buckingham MK18 4AB England
FOUNDATIONS GYM LTD,16759010,Active,Private limited company,,,2025-10-02,,,93130,14 Vicarage Road Bagillt CH6 6DB United Kingdom
TRIBAL GYM WEST LTD,16766740,Active,Private limited company,,,2025-10-06,,,93110,4 Bonfrey Way Hull HU12 8GL England
COREMAX GYM LTD,16731818,Active,Private limited company,,,2025-09-21,,,93130,44 Baston Road Bromley BR2 7BE England
THE GYM REAPER LTD,16738972,Active,Private limited company,,,2025-09-24,,,93199,43 Liscard House Mill Lane Wallasey CH44 5XN United Kingdom
POWERBELL PERSONAL TRAINING GYM LTD,16736005,Active,Private limited company,,,2025-09-23,,,96040,Unit 8 Barclays Business Park Wareing Road Liverpool L9 7AU England
OLYMPUS GYM CO.DOWN LTD,NI733629,Active,Private limited company,,,2025-09-23,,,93130,1 Brannish Road Downpatrick BT30 6LL Northern Ireland
BUBBLE BOUNCE GYM LTD,16749958,Active,Private limited company,,,2025-09-29,,,79909 88910,65 Leamington Street Bradford BD9 4QZ England
GYM EQUIPMENT SERVICES LTD,16743811,Active,Private limited company,,,2025-09-25,,,33190 47799 47910 49420,38a Howard Street Reading RG1 7XS England
FOUNDRY GYM WORCESTER LTD,16778073,Active,Private limited company,,,2025-10-10,,,93130,Ground Floor Office 2 Carnegie Court Farnham Common Slough SL2 3GQ United Kingdom
LO GYM OVL LTD,16779899,Active,Private limited company,,,2025-10-13,,,93130,9 Manchuria Road London SW11 6AF England
THE PIT CLUB HEALTH & FITNESS GYM CIC,16789078,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-10-16,,,93130,8-10 Albion Street Liverpool L5 3QW United Kingdom
ICON GYM STUDIO LIMITED,16571625,Active,Private limited company,,,2025-07-09,,,93130,"Arena Offices 100 Berkshire Place, Gf33 Winnersh RG41 5RD England"
JACKMAN GYM LTD,16803897,Active,Private limited company,,,2025-10-22,,,93130 96040,"Flat 5, 2 Queens Road Southport PR9 9HN England"
THE FRIENDLY GYM LTD,NI734753,Active,Private limited company,,,2025-10-24,,,93130,33 Saintfield Mill Saintfield Ballynahinch BT24 7FH Northern Ireland
GYM MACHINE CABLES LIMITED,16237260,Active,Private limited company,,,2025-02-07,,,46690,60-63 Bunhill Row London EC1Y 8QW England
UFC GYM FIT OUT UK LIMITED,16776695,Active,Private limited company,,,2025-10-10,,,43999,Yew Tree New Bungalow Shirehall Road Dartford DA2 7SE England
GYM KIDS LLP,OC457211,Active,Limited liability partnership,,,2025-06-24,,," ",The Little Gym Widnes Earle Road Widnes WA8 0GY England
GYM ACCESSORIES LTD,16453272,Active,Private limited company,,,2025-05-15,,,93130,First Floor Castle House Dawson Road Bletchley MK1 1QT England
TRENCHTOWN BOXING GYM LIMITED,16375362,Active,Private limited company,,,2025-04-09,,,93130,Unit 2/3 Broadbent Close London N6 5JW England
GYM UNIT FITNESS CLOTHING LTD,16455584,Active,Private limited company,,,2025-05-18,,,46420 47710,81-85 High Street Brentwood CM14 4RR England
OLIVER'S MOBILE DOG GYM LTD,16510284,Active,Private limited company,,,2025-06-11,,,96090,Terrace Hall Woolhope Hereford HR1 4QJ United Kingdom
SITJAIYAI MUAY THAI GYM LTD,16506196,Active,Private limited company,,,2025-06-09,,,93110,Unit S Fens Pool Avenue Brierley Hill DY5 1QA England
ACCELERATE GYM LTD,16525230,Active,Private limited company,,,2025-06-17,,,93130,64 Mill Street Slough SL2 5DH England
SMART GYM SOLUTIONS LIMITED,16514882,Active,Private limited company,,,2025-06-12,,,93130,9 Mcellen Road Abram Wigan WN2 5YT England
ACCESS GYM LTD,16422827,Active,Private limited company,,,2025-05-01,,,93130,124-128 City Road London EC1V 2NX England
LEO'S GYM CIC,16551699,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-06-30,,,93130,45 White Lund Road Morecambe LA3 3NL England
HYBRID POWER GYM LTD,16549945,Active,Private limited company,,,2025-06-30,,,93110 93199,Flat 53 Cearns House 69 William Morley Close London E6 1QX England
HAWLEY’S BOXING GYM LTD,16571716,Active,Private limited company,,,2025-07-09,,,93130,Hawley’S Boxing Gym 340 Footscray Road New Eltham SE9 2EB United Kingdom
VIRGIN ACTIVE GYM HOLDINGS LIMITED,16583184,Active,Private limited company,,,2025-07-15,,,70100,26 Little Trinity Lane Mansion House London EC4V 2AR England
FREAKYS GYM LTD,16584248,Active,Private limited company,,,2025-07-15,,,93130,107 Ashby High Street Scunthorpe DN16 2JX England
GYM FACTORY BEVERLEY LIMITED,16572035,Active,Private limited company,,,2025-07-09,,,93130,Suite 1-2 55 Fleet Road Fleet GU51 3PJ England
GYM ASSASSIN LTD,16572953,Active,Private limited company,,,2025-07-10,,,93199,Flat 7 Union Court Elmfield Way London W9 3UL England
GYM BUDY LTD,16183748,Active,Private limited company,,,2025-01-14,,,62090 93130 93199 96040,"3rd Floor, 86-90 Paul Street London EC2A 4NE England"
COMMANDO FACTORY GYM LTD,SC855799,Active,Private limited company,,,2025-07-16,,,93130,14 Stoneygate Road Newmilns KA16 9AL United Kingdom
TDM GYM BURTON LTD,16600020,Active,Private limited company,,,2025-07-22,,,93130,8a Bore Street Lichfield WS13 6LL England
TDM GYM TAMWORTH LTD,16600070,Active,Private limited company,,,2025-07-22,,,93130,8a Bore Street Lichfield WS13 6LL England
LEO'S GYM AMATEUR BOXING CLUB CIC,16604990,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-07-24,,,93120,Beadle House 16 Bull Plain Hertford SG14 1DT England
STACKERZ GYM LTD,16609219,Active,Private limited company,,,2025-07-28,,,47640 47910 93130 96040,"3rd Floor, 86-90 Paul Street London EC2A 4NE England"
FITLEAF GYM LTD,16634231,Active,Private limited company,,,2025-08-07,,,96040,30 Lower Ford Street Coventry CV1 5PW England
COLOSSEUM GYM CARDIFF LTD,16633302,Active,Private limited company,,,2025-08-06,,,93130,Unit 5 Fairfield Industrial Estate Gwaelod-Y-Garth Cardiff CF15 8LA Wales
THE PEOPLE'S GYM CIC,16617240,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-07-30,,,85590 88990 93130,Flat 9 Simco Court 81 Northlands Road Southampton SO15 2DQ England
SWANNFITNESS FEMALE ONLY GYM LTD,16636115,Active,Private limited company,,,2025-08-07,,,93130,Unit 6 Anchor Business Park Featherstall Road North Oldham OL9 6AZ England
BODYWEIGHT FITNESS & GYM LIMITED,16637921,Active,Private limited company,,,2025-08-08,,,93130 93199 96040,14/2e Docklands Business Centre 10-16 Tiller Road London E14 8PX United Kingdom
STABLES GYM LTD,16625995,Active,Private limited company,,,2025-08-04,,,93130,10 Barnetts Court Corbins Lane Harrow HA2 8EU United Kingdom
FULLER LIFE GYM CIC,16623122,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-08-01,,,93199,34 Ardent Avenue Walmer Deal CT14 7UE England
THE M41 GYM LTD,16625264,Active,Private limited company,,,2025-08-04,,,93130,47a Higher Road Urmston M41 9AP United Kingdom
FOUNDRY GYM WARRINGTON LIMITED,16849637,Active,Private limited company,,,2025-11-12,,,93130,3c Mitre Court 38 Lichfield Road Sutton Coldfield B74 2LZ England
FOCUS GYM TECHNOLOGY LTD,16725400,Active,Private limited company,,,2025-09-17,,,62012 85590 96090,"2 Crossways Business Centre Bicester Road, Kingswood, Aylesbury HP18 0RA United Kingdom"
SOLID IMPACT GYM LTD,16904901,Active,Private limited company,,,2025-12-11,,,93130,281 Rock Terrace Bradford BD8 7DL England
GYM RATZ LTD,16852219,Active,Private limited company,,,2025-11-13,,,47710 47721 47910 47990,"2nd Floor College House 17 King Edwards Road, Ruislip, HA4 7AE United Kingdom"
THE BARN GYM (WEST CAMBRIDGE) LIMITED,16554896,Active,Private limited company,,,2025-07-01,,,93130,Middle Fen Farm Earith Road Willingham Cambridge CB24 5LT England
GYM BUDDY LTD,16896688,Active,Private limited company,,,2025-12-08,,,58290,Springdale Wyesham Road Wyesham Monmouth NP25 3JH Wales
GYM TRADING SOLUTIONS LTD,16724785,Active,Private limited company,,,2025-09-17,,,47990,4 Nile Close Nelson Court Business Centre Ashton-On-Ribble PR2 2XU England
ELEVATE GYM GROUP LTD,16475815,Active,Private limited company,,,2025-05-27,,,93130,Apartment 610 Alexandra Wharf 1 Maritime Walk Ocean Village Southampton SO14 3QR England
THE GEEK GYM LTD,16436419,Active,Private limited company,,,2025-05-08,,,46180 47190 47650 47910,651a Mauldeth Road West Chorlton Manchester M21 7SA England
STÄÄL GYM SUPPLIES LTD,16443929,Active,Private limited company,,,2025-05-12,,,46190,Stone Hall Cottage Moulsham Hall Lane Great Leighs Chelmsford CM3 1PZ England
FOUNDRY GYM NOTTINGHAM LTD,16493170,Active,Private limited company,,,2025-06-03,,,93130,Ground Floor Office 2 Carnegie Court Farnham Common SL2 3GQ United Kingdom
METRO GYM 24 (EAST) LTD,16499755,Active,Private limited company,,,2025-06-05,,,93130,Unit 4 Victor Business Park 12 Gillett Street Hull HU3 4JA England
SMARTT GYM CRAWLEY LIMITED,16176572,Active,Private limited company,,,2025-01-10,,,93130,11 Denvale Trade Park Haslett Avenue East Crawley RH10 1SS England
PFS GYM & SPORTS NUTRITION LIMITED,16172511,Active,Private limited company,,,2025-01-09,,,93110,22 Burton Road Newport NP19 7NE Wales
FAREHAMS 24/7 GYM LTD,16824256,Active,Private limited company,,,2025-10-31,,,93130,Down End Road Fareham PO16 8TS United Kingdom
GYM ONE LIMITED,16831473,Active,Private limited company,,,2025-11-04,,,93130,18 Lawrence Way Lichfield WS13 6RD England
POWER GYM EQUIPMENT LIMITED,16834082,Active,Private limited company,,,2025-11-05,,,32300,24 Weavermill Park Ashton-In-Makerfield Wigan WN4 9EZ England
GYM ENVY LONDON LIMITED,16439031,Dissolved,Private limited company,,2025-12-30,2025-05-08,,,46160,"3rd Floor, 86-90 Paul Street London EC2A 4NE United Kingdom"
JN & CO GYM SPACE LIMITED,16927900,Active,Private limited company,,,2025-12-23,,,93110,Unit 1-2 Unity Business Park Bath Road Bitton Bristol BS30 6HZ England
PENDULUM GYM LTD,16923828,Active,Private limited company,,,2025-12-20,,,93130,16 Langton Road Bishops Waltham Southampton SO32 1GF England
JACKED GYM 26 LTD,SC873357,Active,Private limited company,,,2025-12-22,,,93130,25 Finlas Street C Glasgow G22 5DU United Kingdom
LIGHTWEIGHTS GYM LIMITED,16547864,Dissolved,Private limited company,,2026-01-06,2025-06-27,,,93130,23 Gironde Road London SW6 7DY England
MUSCLE BASIN GYM WHITECHAPEL LTD,16935020,Active,Private limited company,,,2025-12-30,,,93130,207 Leytonstone Road London E15 1LN United Kingdom
THE POCKET GYM LTD,16683394,Active,Private limited company,,,2025-08-31,,,74100,2 Haworth Croft Broughton Milton Keynes MK10 9QP England
THE ACADEMIC GYM LTD,16561942,Active,Private limited company,,,2025-07-05,,,85590 85600,71-75 Shelton Street Covent Garden London WC2H 9JQ England
WEBB'S BOXING GYM CIC,16567921,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-07-08,,,96040,27 Old Gloucester Street London WC1N 3AX United Kingdom
NEXTGEN GYM AND FITNESS LTD,16560633,Active,Private limited company,,,2025-07-03,,,93130,162 High Street New Whittington Chesterfield S43 2AN United Kingdom
EMSWORTH GYM LTD,16566463,Active,Private limited company,,,2025-07-08,,,93130,"2, Emsworth Gym Ltd Havant Road Emsworth PO10 7JE United Kingdom"
GYM WIN LTD,16562988,Active,Private limited company,,,2025-07-07,,,93290,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
EFFORTLESS GYM LTD,16652122,Active,Private limited company,,,2025-08-15,,,93130,76 Basepoint Business Centre Aviation Park West Hurn Christchurch BH23 6NX England
NO EXCUSE GYM & FITNESS LTD,16659878,Active,Private limited company,,,2025-08-19,,,93130,Unit 2.1 Heaton Mills Heaton Street Denton Manchester M34 3RG England
MUTANT GYM LAB LTD,16695441,Active,Private limited company,,,2025-09-04,,,96090,11 Knightwick Crescent Birmingham B23 7DA England
LEGIONS GYM BOXING CLUB CIC,16676117,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-08-27,,,93110,Unit 1a Foxoak Park Dunnington York YO19 5RZ United Kingdom
TALISMAN GYM HERTFORD LTD,16716989,Active,Private limited company,,,2025-09-15,,,93130,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
FFITRWYDD MON FITNESS GYM LTD,16653619,Active,Private limited company,,,2025-08-15,,,93130,Unit 13 Trident Business Park Bryn Cefni Industrial Park Llangefni LL77 7BB Wales
THE PIT BOXING GYM LTD,16724828,Active,Private limited company,,,2025-09-17,,,93130,Unit 104 Lakesview International Business Park Hersden Canterbury CT3 4NH England
OLDFIELD’S GYM LTD,16720522,Active,Private limited company,,,2025-09-16,,,93130,1 Edward Avenue Newcastle ST5 2HB England
C-4 GYM (BOSTON) LTD,16720951,Active,Private limited company,,,2025-09-16,,,93130,32 The Crescent Spalding PE11 1AF England
INFINITY GYM LTD,16720188,Active,Private limited company,,,2025-09-16,,,93130,Unit 2b Kyme Mill Killinghall Road Bradford BD3 8HW United Kingdom
HIRE GYM LIMITED,16288597,Active,Private limited company,,,2025-03-03,,,77210,"16288597 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH "
GYM RENT LIMITED,16288492,Active,Private limited company,,,2025-03-03,,,77210,"16288492 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH "
REAL LEGENDS GYM LTD,16246137,Active,Private limited company,,,2025-02-12,,,96090,Quantrill House 2 Dunstable Road Luton LU1 1DX England
GYM DEMON LTD,16396876,Active,Private limited company,,,2025-04-20,,,99999,25 Overton Way Wrexham LL12 7LB Wales
FOUR CORNERS BOXING GYM CIC,16408764,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-04-25,,,93120,4102 Charlotte House Norfolk Street Liverpool L1 0BG United Kingdom
THE GYM TECHNICIAN LTD,16375312,Active,Private limited company,,,2025-04-09,,,33190,19 Vine Tree Avenue Crewe CW2 7NT England
THE TEMPLE GYM GROUP LTD,16378881,Active,Private limited company,,,2025-04-10,,,64209,45 Medway Road Gillingham ME7 1NL England
RIVAL MMA GYM KX LTD,16391361,Active,Private limited company,,,2025-04-16,,,93130,251-253 Caledonian Road London N1 1ED England
CATHOLIC GYM SOCIETY CIC,16391976,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-04-16,,,94910,Wyckens Axford Road Ellisfield Basingstoke RG25 2QG England
JUNGLE GYM ADVENTURE PLAY AND CAFÉ CIC,16416280,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-04-29,,,56102 93290,109 Ecclestone Road Wolverhampton WV11 2QA England
FOESHILL GYM AND FIGHT CLUB LTD,16393468,Active,Private limited company,,,2025-04-17,,,93110,Auburndale House 661a Foleshill Road Coventry CV6 5JQ England
GYM CULTURE LTD,16210091,Dissolved,Private limited company,,2025-04-29,2025-01-27,,,47910,233 Poole Lane Bournemouth BH11 9EB England
NEWPORT PAGNELL PT GYM LTD,16423300,Active,Private limited company,,,2025-05-01,,,93130,16 Redcar Road Towcester NN12 6LZ England
GYM FILLE LIMITED,16220779,Active,Private limited company,,,2025-01-31,,,46420,85 Glyndebourne Gardens Corby NN18 0QA England
THE YARD BOXING GYM LTD,16197924,Active,Private limited company,,,2025-01-21,,,93120,226 Sandy Lane Droylsden Manchester M43 7JX England
LITTLE MOVERS GYM LIMITED,16187328,Active,Private limited by guarantee without share capital,,,2025-01-15,,,88910,161-169 Essex Road London N1 2SN England
PANDA GYM EQUIPMENT LTD,16227365,Active,Private limited company,,,2025-02-04,,,46690 47190 47799,51 Thoroughsale Road Corby NN17 1JB United Kingdom
WARRIOR COMBAT GYM CIC,16239524,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-02-10,,,93130,51 South Road Waterloo L22 5PE United Kingdom
DRAGON GYM LEIGH LTD,16241225,Active,Private limited company,,,2025-02-10,,,93199,"Unit 15, Welch Hill Mill Welch Hill Street Leigh WN7 4DU United Kingdom"
SPIRIT CENTRE SKF DOJO GYM & STUDIO LIMITED,16231528,Active,Private limited company,,,2025-02-05,,,93199,12 Mead Crescent Dartford DA1 2SH United Kingdom
ABK GYM GROUP LTD,16280711,Active,Private limited company,,,2025-02-27,,,93130,26 Goodge Street London W1T 2QG England
NEW IMAGE GYM RUSKINGTON LTD,16300866,Active,Private limited company,,,2025-03-07,,,96040,Northgate House Northgate Sleaford NG34 7BZ England
CITY GYM VAUXHALL LIMITED,16305200,Active,Private limited company,,,2025-03-10,,,93130,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
TMU GYM LTD,16302436,Active,Private limited company,,,2025-03-08,,,93130 93199,5 Kingsley Court Mansfield NG19 8JF England
REAL GYM FOOD LTD,16353092,Active,Private limited company,,,2025-03-31,,,56102,54 Wydon Park Hexham NE46 2DA United Kingdom
LIMITLESS POWER GYM LTD,16555078,Active,Private limited company,,,2025-07-01,,,93130,63 Kingsway Manchester M19 2LL England
GYM INSTALLATION SERVICES LTD,16174851,Active,Private limited company,,,2025-01-10,,,33200,Unit 8 Hadley Business Park Hadley Park Road Telford TF1 6AB England
BLOOM’S GYM LIMITED,16565432,Active,Private limited company,,,2025-07-07,,,46341 56101 93130 96040,373 Loughborough Road Birstall Leicester LE4 4BG England
STEELTECH GYM INSTALLATIONS LIMITED,16569242,Active,Private limited company,,,2025-07-08,,,43390,328 Gayfield Avenue Brierley Hill DY5 3JE England
SKERDY'S GYM LTD,16199784,Active,Private limited company,,,2025-01-22,,,93130 93199,158 Uxbridge Road London W13 8SB England
BENNETT GYM (HELSTON) LTD,16204492,Active,Private limited company,,,2025-01-23,,,93130,11a Kimberley Park Road Falmouth TR11 2DA England
THE GYM SCRIPT LTD,16210042,Active,Private limited company,,,2025-01-27,,,93130,255 Brecon Road Ystradgynlais Swansea SA9 1QT Wales
AMS GYM LTD,16537198,Active,Private limited company,,,2025-06-23,,,93130,4 Saville Gardens Billingshurst RH14 9RR England
SWEAT HYBRID GYM LTD,16537112,Active,Private limited company,,,2025-06-23,,,93130,30 Honiton Way Hartlepool TS25 2PR England
START CREATIVE GYM LIMITED,16576588,Active,Private limited company,,,2025-07-11,,,85590,24 Highfield Square Liverpool L13 3BL United Kingdom
DIAMOND GYM WEAR LIMITED,16593991,Active,Private limited company,,,2025-07-20,,,47710,7 Manor Road Brighton BN2 5EE England
SYNERGY GYM LTD,16597859,Active,Private limited company,,,2025-07-22,,,93130,Unit 1 & 2 Broadoak Park Canal Way Ilminster TA19 9DW United Kingdom
GYM ARC LIMITED,16284921,Active,Private limited company,,,2025-03-01,,,46420,6 Windsor Walk Doncaster DN5 8NQ England
GYM AND TONIC FITNESS LIMITED,16237372,Dissolved,Private limited company,,2025-08-05,2025-02-07,,,93130,7 Tendergreen View Tewkesbury GL20 5FP England
KENSHIRO GYM LTD,16612048,Active,Private limited company,,,2025-07-29,,,93130,11 Hollingbury Rise Brighton BN1 7HH England
MERLIN GYM LIMITED,16438076,Active,Private limited company,,,2025-05-08,,,93130,Champions Place Kent Hatch Road Oxted RH8 0TA England
ALPHA GYM LTD,16478252,Active,Private limited company,,,2025-05-28,,,93130,Unit D R/O 181 Forest Road Hainault IG6 3HZ United Kingdom
KENNEDYS KINGDOM BOXING GYM LTD,16322656,Active,Private limited company,,,2025-03-18,,,93199,"3rd Floor, 86-90 Paul Street London EC2A 4NE United Kingdom"
CROSS N GYM LIMITED,16339142,Active,Private limited company,,,2025-03-24,,,63990 86900 93130 93199,12 Pimpernel Way Romford RM3 8BT England
GORILLA GAINZ GYM LTD,16345214,Active,Private limited company,,,2025-03-26,,,93130,85c Stamford Street London SE1 9NB England
THE HYVE GYM LTD,16347456,Active,Private limited company,,,2025-03-27,,,93130,Panteg Farm Pinged Kidwelly SA16 0JE Wales
BMO GYM AND FITNESS LIMITED,16347867,Active,Private limited company,,,2025-03-27,,,93130,176-178 Pontefract Road Cudworth Barnsley S72 8BE England
FOUDNRY GYM TAMWORTH LTD,16454373,Active,Private limited company,,,2025-05-15,,,93130,Ankerside Shopping Centre Unit 44 Tamworth B79 7LG United Kingdom
LIONS CUB GYM LTD,16341520,Active,Private limited company,,,2025-03-25,,,93130,32-42 East Street Hillfields Coventry CV1 5LS United Kingdom
LIONS GYM MMA LTD,16445418,Active,Private limited company,,,2025-05-12,,,93130,32-42 East Street Hillfields Coventry CV1 5LS United Kingdom
DO YOU FEMALE ONLY GYM LTD,NI729988,Active,Private limited company,,,2025-06-02,,,93130,"26 Linenhall Street, 1st Floor C/O Feb Chartered Accountants Belfast BT2 8BG Northern Ireland"
GYM CENTRE GROUP LIMITED,16499546,Active,Private limited company,,,2025-06-05,,,93130,Flat 54 Smoothfield Court Hibernia Road Hounslow TW3 3RJ England
GYM ERA LTD,16430956,Active,Private limited company,,,2025-05-06,,,74100,21 Woodyard Close London NW5 4BU United Kingdom
LIMITLESS GYM APPAREL LTD,16433255,Active,Private limited company,,,2025-05-06,,,47910,6 Albert Edward Road Liverpool L7 8RY England
FRANK GYM MAINTENANCE LTD,SC838904,Active,Private limited company,,,2025-02-24,,,33190,Gowdenlea Roman Road Clydebank G81 6BT Scotland
TRIBAL GYM HQ LTD,16393681,Active,Private limited company,,,2025-04-17,,,93130,4 Bonfrey Way Hedon Hull HU12 8GL England
INNER GYM CIC,16505010,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-06-09,,,86900 88990 96040,8 Kings Road Portishead Bristol BS20 8HH England
GYM LAB FITNESS LTD,16666125,Active,Private limited company,,,2025-08-21,,,93130,81 Moseley Avenue Coventry CV6 1HR England
TRK GYM SUPPLIES LIMITED,16652464,Active,Private limited company,,,2025-08-15,,,47190 47640 47910,5 Eastfield Road Enfield EN3 5UX England
AWHBXING GYM LTD,SC860696,Active,Private limited company,,,2025-08-28,,,93130,West Mains Farm Gleneagles Auchterarder PH3 1PJ Scotland
RICK'S GYM LTD,16682008,Active,Private limited company,,,2025-08-29,,,43290 93130,40 Magpie Way Winslow Buckingham MK18 3JT England
GYM JUNKY LTD,16575920,Active,Private limited company,,,2025-07-11,,,47640,"1st Floor, Gibraltar House First Avenue Centrum One Hundred Burton-On-Trent DE14 2WE England"
MASH GYM PRODUCTS LTD,16605062,Active,Private limited company,,,2025-07-24,,,32300,Unit 21 Dock Road Birkenhead CH41 1FD United Kingdom
THE BARN GYM (HOLDINGS) LIMITED,16610636,Active,Private limited company,,,2025-07-28,,,64209,Middle Fen Farm Earith Road Willingham Cambridge CB24 5LT England
THE NEW CANVEY ISLAND GYM LTD,16604800,Active,Private limited company,,,2025-07-24,,,93130,8b Oxford Road Canvey Island SS8 7SJ England
IMPACT GYM OLDBURY LTD,16259635,Active,Private limited company,,,2025-02-18,,,93130,C/O Michael Heaven & Associates Limited 47 Calthorpe Road Edgbaston Birmingham B15 1TH United Kingdom
LOVE 2 GYM LTD,16588595,Active,Private limited company,,,2025-07-17,,,93130,12-14 Moor Lane Crosby Liverpool L23 2UE England
FITNESS EVOLUTION GYM LTD,16690767,Active,Private limited company,,,2025-09-03,,,93130,Straw Barn Old Turkey Farm Barrows Lane Sway SO41 6DD United Kingdom
RHINOS GYM TAMWORTH LIMITED,16615359,Active,Private limited company,,,2025-07-30,,,96040,Unit 7 Common Barn Farm Tamworth Road Lichfield WS14 9PX United Kingdom
FLAIR GYM CLUBS LLP,OC457601,Active,Limited liability partnership,,,2025-07-30,,," ",Marine House 151 Western Road Haywards Heath RH16 3LH United Kingdom
THE STABLE GYM COLLECTIVE LIMITED,16225081,Active,Private limited company,,,2025-02-03,,,93130,1 The Mews Rear Of 134 Worplesdon Road Guildford GU2 9RX England
VALHALLA GYM WREXHAM LTD,16624096,Active,Private limited company,,,2025-08-03,,,47290 47710 93130,Unit C & D Rhosddu Industrial Estate Old Rhosrobin Wrexham LL11 4YL Wales
ASCEND GYM LTD,16632860,Active,Private limited company,,,2025-08-06,,,93130,Suites 10&11 The Hive Bell Lane Stevenage SG1 3HW England
THE DEDICATED GYM LTD,16454930,Active,Private limited company,,,2025-05-17,,,96040,"Unit B, Ford Lane Industrial Estate Ford Lane Ford Arundel BN18 0DF England"
